ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Subject,Description,Image-URL-S,Image-URL-M,Image-URL-L,Source-URL
9798557770330,Animal Coloring Book,Anny Hanthaway,2020,Independently Published,Puppies ,Do you like cats and drawing? You can say yes after reading this book.,https:/images/icons/avatar_booS.png,https:/images/icons/avatar_booM.png,https:/images/icons/avatar_booL.png,nan
0316109215,Arthur's New Puppy (Arthur Adventure Series),Marc Brown,"September 1, 1995","Little, Brown Young Readers",Puppies ,"Arthur is overjoyed when he brings home his new puppy, Pal. But when Arthur forgets to close Pal's gate, the puppy goes wild! It's a good thing Arthur has some training tricks up his sleeve!",https://covers.openlibrary.org/b/id/188015-S.jpg,https://covers.openlibrary.org/b/id/188015-M.jpg,https://covers.openlibrary.org/b/id/188015-L.jpg,nan
"7513305943, 
    751331828X",Ge zi xiang yao xiao gou gou!,Mo Willems,2012,Xin xing chu ban she =,Puppies ,"""He really, really, REALLY wants one. He'll take really good care of it. What's the matter--don't you want him to be happy? The latest book in the best-selling Pigeon series is the funniest one yet""--Distributor's web site",https:https://archive.org/download/gezixiangyaoxiao0000will/page/cover_w180_h36S.jpg,https:https://archive.org/download/gezixiangyaoxiao0000will/page/cover_w180_h36M.jpg,https:https://archive.org/download/gezixiangyaoxiao0000will/page/cover_w180_h36L.jpg,nan
9781540635105,Journal,PlainSimpleBooks,2016,CreateSpace Independent Publishing Platform,Puppies ,A Blank Book Journal or Diary to keep thoughts and ideas. Bound paperback book with 150 grayscale lined and numbered pages to fill any way you want. Book opens easily for comfortable writing with ample margins for extra notations or doodling. Perfect for bullet journaling. Art on cover is Silk Embroidery Birds. ~Better World Books,https:/images/icons/avatar_booS.png,https:/images/icons/avatar_booM.png,https:/images/icons/avatar_booL.png,nan
0525463631,Puppy,Discovery Kids,2000,Dutton Children's Books,Puppies ,"""Watch a tiny, newborn puppy grow into a playful young dog in this book full of adorable photographs and fascinating facts.""  Stunning photographs chronicle the stages of growth of a puppy as it develops from a newborn to an independent juvenile. Readers will be amazed! Features utterly irresistible photographs, charmingly illustrated art borders, bold splashes of color, and a simple, imaginative text that will delight both parent and child. From a fragile newborn to an adorable young pup, readers will be delighted and amused as they follow the development of a dog's first few weeks of life. Full-color illustrations.",https://covers.openlibrary.org/b/id/6554907-S.jpg,https://covers.openlibrary.org/b/id/6554907-M.jpg,https://covers.openlibrary.org/b/id/6554907-L.jpg,nan
9798696493244,Animal Coloring Book for Kids,Kenny J.R,2020,Independently Published,Puppies ,nan,https:/images/icons/avatar_booS.png,https:/images/icons/avatar_booM.png,https:/images/icons/avatar_booL.png,nan
9781985856523,Internet Password Organizer,Innovention Innovention Lab,2018,CreateSpace Independent Publishing Platform,Puppies ,nan,https:/images/icons/avatar_booS.png,https:/images/icons/avatar_booM.png,https:/images/icons/avatar_booL.png,nan
9781653292141,Coloring Book,Anh Coloring Book,2019,Independently Published,Puppies ,nan,https:/images/icons/avatar_booS.png,https:/images/icons/avatar_booM.png,https:/images/icons/avatar_booL.png,nan
9798420449691,My Awesome Stickers,Sticker's aharaw,2022,Independently Published,Puppies ,nan,https:/images/icons/avatar_booS.png,https:/images/icons/avatar_booM.png,https:/images/icons/avatar_booL.png,nan
9780618932948,Houghton Mifflin Reading Intervention,Houghton Mifflin Company Staff,2007,Houghton Mifflin Harcourt Publishing Company,Puppies ,nan,https://covers.openlibrary.org/b/id/12813898-S.jpg,https://covers.openlibrary.org/b/id/12813898-M.jpg,https://covers.openlibrary.org/b/id/12813898-L.jpg,nan
0689834047,Lily the Lost Puppy (Puppy Friends),Jenny Dale,"February 1, 2000",Aladdin,Puppies ,nan,https://covers.openlibrary.org/b/id/435798-S.jpg,https://covers.openlibrary.org/b/id/435798-M.jpg,https://covers.openlibrary.org/b/id/435798-L.jpg,nan
9781794290044,Address Book,Shamrock Logbook,2019,Independently Published,Puppies ,nan,https://covers.openlibrary.org/b/id/13501067-S.jpg,https://covers.openlibrary.org/b/id/13501067-M.jpg,https://covers.openlibrary.org/b/id/13501067-L.jpg,nan
1471144607,Dork Diaries Puppy Love,Rachel Renée Russell,"Aug 27, 2016",Simon & Schuster,Puppies ,Nikki meets adorable puppies with her crush Brandon. But the place Brandon works at has no room for more dogs. Will they be successful?,https://covers.openlibrary.org/b/id/15053179-S.jpg,https://covers.openlibrary.org/b/id/15053179-M.jpg,https://covers.openlibrary.org/b/id/15053179-L.jpg,nan
"9780375957123, 
    9780375857126",Babymouse,Jennifer L. Holm,2009,Random House Childrens Books,Puppies ,An imaginative mouse who likes to read heroic fantasy novels finds herself on the school math team as it prepares to compete for the coveted Golden Slide Rule.,https://covers.openlibrary.org/b/id/6305823-S.jpg,https://covers.openlibrary.org/b/id/6305823-M.jpg,https://covers.openlibrary.org/b/id/6305823-L.jpg,nan
141694737X,Dear Zoo,Rod Campbell,2007,Little Simon,Puppies ,"Each animal arriving from the zoo as a possible pet fails to suit its prospective owner, until just the right one is found. Movable flaps reveal the contents of each package.",https://covers.openlibrary.org/b/id/10710152-S.jpg,https://covers.openlibrary.org/b/id/10710152-M.jpg,https://covers.openlibrary.org/b/id/10710152-L.jpg,nan
9798550593998,100 Animals,Scott Autumn,2020,Independently Published,Puppies ,nan,https:/images/icons/avatar_booS.png,https:/images/icons/avatar_booM.png,https:/images/icons/avatar_booL.png,nan
9798553565220,Wild Animal Coloring Book,Katty Green,2020,Independently Published,Puppies ,nan,https:/images/icons/avatar_booS.png,https:/images/icons/avatar_booM.png,https:/images/icons/avatar_booL.png,nan
9781676053491,Coloring Book,Donald Nguyen,2019,Independently Published,Puppies ,nan,https:/images/icons/avatar_booS.png,https:/images/icons/avatar_booM.png,https:/images/icons/avatar_booL.png,nan
1444810308,Kim,Rudyard Kipling,2012,Ulverscroft,Historical Fiction ,"Kim is Rudyard Kipling's story of an orphan born in colonial India and torn between love for his native India and the demands of Imperial loyalty to his Irish-English heritage and to the British Secret Service. Long recognized as Kipling's finest work, Kim was a key factor in his winning the Nobel Prize for Literature in 1907.",https://covers.openlibrary.org/b/id/10335466-S.jpg,https://covers.openlibrary.org/b/id/10335466-M.jpg,https://covers.openlibrary.org/b/id/10335466-L.jpg,nan
0140449086,The Histories,Herodotus,2003,Penguin Books,Historical Fiction ,"One of the earliest histories of the western world still extant, this gives a contemporary account of the Greco-Persian wars of the fifth century BCE with the rise of the Achaemenid Empire under Cyrus the Great.",https://covers.openlibrary.org/b/id/104337-S.jpg,https://covers.openlibrary.org/b/id/104337-M.jpg,https://covers.openlibrary.org/b/id/104337-L.jpg,nan
8879836854,L'ultimo dei Mohicani,James Fenimore Cooper,1994,Newton Compton,Historical Fiction ,"The classic tale of Hawkeye—Natty Bumppo—the frontier scout who turned his back on ""civilization,"" and his friendship with a Mohican warrior as they escort two sisters through the dangerous wilderness of Indian country in frontier America.",https://covers.openlibrary.org/b/id/12139938-S.jpg,https://covers.openlibrary.org/b/id/12139938-M.jpg,https://covers.openlibrary.org/b/id/12139938-L.jpg,nan
1542049644,The House of the Seven Gables,Nathaniel Hawthorne,"Oct 10, 2017",Amazonclassics,Historical Fiction ,"In a sleepy little New England village stands a dark, weather-beaten, many-gabled house. This brooding mansion is haunted by a centuries-old curse that casts the shadow of ancestral sin upon the last four members of the distinctive Pyncheon family. Mysterious deaths threaten the living. Musty documents nestle behind hidden panels carrying the secret of the family's salvation -- or its downfall.
Hawthorne called The House of the Seven Gables ""a romance,"" and freely bestowed upon it many fascinating gothic touches. A brilliant intertwining of the popular, the symbolic, and the historical, the novel is a powerful exploration of personal and national guilt, a work that Henry James declared ""the closest approach we are likely to have to the Great American Novel.""",https://covers.openlibrary.org/b/id/12044155-S.jpg,https://covers.openlibrary.org/b/id/12044155-M.jpg,https://covers.openlibrary.org/b/id/12044155-L.jpg,nan
